Year;Date;Home_Team;Away_Team;Home_Score;Away_Score;Shootout;Tournament;City;Country;Neutral_Venue;WinningTeam;first_shooter;Losing_Team
1996;04/12/1996;Indonesia;Kuwait;2.0;2.0;FALSE;AFC Asian Cup;Abu Dhabi;United Arab Emirates;TRUE;Draw;;Draw
1996;04/12/1996;United Arab Emirates;South Korea;1.0;1.0;FALSE;AFC Asian Cup;Abu Dhabi;United Arab Emirates;FALSE;Draw;;Draw
1996;05/12/1996;Iran;Iraq;1.0;2.0;FALSE;AFC Asian Cup;Dubai;United Arab Emirates;TRUE;Iraq;;Iran
1996;05/12/1996;Saudi Arabia;Thailand;6.0;0.0;FALSE;AFC Asian Cup;Dubai;United Arab Emirates;TRUE;Saudi Arabia;;Thailand
1996;06/12/1996;China PR;Uzbekistan;0.0;2.0;FALSE;AFC Asian Cup;Al Ain;United Arab Emirates;TRUE;Uzbekistan;;China PR
1996;06/12/1996;Japan;Syria;2.0;1.0;FALSE;AFC Asian Cup;Al Ain;United Arab Emirates;TRUE;Japan;;Syria
1996;07/12/1996;South Korea;Indonesia;4.0;2.0;FALSE;AFC Asian Cup;Abu Dhabi;United Arab Emirates;TRUE;South Korea;;Indonesia
1996;07/12/1996;United Arab Emirates;Kuwait;3.0;2.0;FALSE;AFC Asian Cup;Abu Dhabi;United Arab Emirates;FALSE;United Arab Emirates;;Kuwait
1996;08/12/1996;Saudi Arabia;Iraq;1.0;0.0;FALSE;AFC Asian Cup;Dubai;United Arab Emirates;TRUE;Saudi Arabia;;Iraq
1996;08/12/1996;Thailand;Iran;1.0;3.0;FALSE;AFC Asian Cup;Dubai;United Arab Emirates;TRUE;Iran;;Thailand
1996;09/12/1996;Japan;Uzbekistan;4.0;0.0;FALSE;AFC Asian Cup;Al Ain;United Arab Emirates;TRUE;Japan;;Uzbekistan
1996;09/12/1996;Syria;China PR;0.0;3.0;FALSE;AFC Asian Cup;Al Ain;United Arab Emirates;TRUE;China PR;;Syria
1996;10/12/1996;Kuwait;South Korea;2.0;0.0;FALSE;AFC Asian Cup;Abu Dhabi;United Arab Emirates;TRUE;Kuwait;;South Korea
1996;10/12/1996;United Arab Emirates;Indonesia;2.0;0.0;FALSE;AFC Asian Cup;Abu Dhabi;United Arab Emirates;FALSE;United Arab Emirates;;Indonesia
1996;11/12/1996;Iraq;Thailand;4.0;1.0;FALSE;AFC Asian Cup;Dubai;United Arab Emirates;TRUE;Iraq;;Thailand
1996;11/12/1996;Saudi Arabia;Iran;0.0;3.0;FALSE;AFC Asian Cup;Dubai;United Arab Emirates;TRUE;Iran;;Saudi Arabia
1996;12/12/1996;Japan;China PR;1.0;0.0;FALSE;AFC Asian Cup;Al Ain;United Arab Emirates;TRUE;Japan;;China PR
1996;12/12/1996;Uzbekistan;Syria;1.0;2.0;FALSE;AFC Asian Cup;Al Ain;United Arab Emirates;TRUE;Syria;;Uzbekistan
1996;15/12/1996;Kuwait;Japan;2.0;0.0;FALSE;AFC Asian Cup;Al Ain;United Arab Emirates;TRUE;Kuwait;;Japan
1996;15/12/1996;United Arab Emirates;Iraq;1.0;0.0;FALSE;AFC Asian Cup;Abu Dhabi;United Arab Emirates;FALSE;United Arab Emirates;;Iraq
1996;16/12/1996;South Korea;Iran;2.0;6.0;FALSE;AFC Asian Cup;Dubai;United Arab Emirates;TRUE;Iran;;South Korea
1996;16/12/1996;Saudi Arabia;China PR;4.0;3.0;FALSE;AFC Asian Cup;Abu Dhabi;United Arab Emirates;TRUE;Saudi Arabia;;China PR
1996;19/12/1996;Iran;Saudi Arabia;0.0;0.0;TRUE;AFC Asian Cup;Abu Dhabi;United Arab Emirates;TRUE;Saudi Arabia;;Iran
1996;19/12/1996;United Arab Emirates;Kuwait;1.0;0.0;FALSE;AFC Asian Cup;Abu Dhabi;United Arab Emirates;FALSE;United Arab Emirates;;Kuwait
1996;21/12/1996;Iran;Kuwait;1.0;1.0;TRUE;AFC Asian Cup;Abu Dhabi;United Arab Emirates;TRUE;Iran;;Kuwait
1996;21/12/1996;United Arab Emirates;Saudi Arabia;0.0;0.0;TRUE;AFC Asian Cup;Abu Dhabi;United Arab Emirates;FALSE;Saudi Arabia;;United Arab Emirates
2000;12/10/2000;Iraq;Thailand;2.0;0.0;FALSE;AFC Asian Cup;Tripoli;Lebanon;TRUE;Iraq;;Thailand
2000;12/10/2000;Lebanon;Iran;0.0;4.0;FALSE;AFC Asian Cup;Beirut;Lebanon;FALSE;Iran;;Lebanon
2000;13/10/2000;South Korea;China PR;2.0;2.0;FALSE;AFC Asian Cup;Tripoli;Lebanon;TRUE;Draw;;Draw
2000;13/10/2000;Kuwait;Indonesia;0.0;0.0;FALSE;AFC Asian Cup;Tripoli;Lebanon;TRUE;Draw;;Draw
2000;14/10/2000;Qatar;Uzbekistan;1.0;1.0;FALSE;AFC Asian Cup;Sidon;Lebanon;TRUE;Draw;;Draw
2000;14/10/2000;Saudi Arabia;Japan;1.0;4.0;FALSE;AFC Asian Cup;Sidon;Lebanon;TRUE;Japan;;Saudi Arabia
2000;15/10/2000;Iran;Thailand;1.0;1.0;FALSE;AFC Asian Cup;Beirut;Lebanon;TRUE;Draw;;Draw
2000;15/10/2000;Lebanon;Iraq;2.0;2.0;FALSE;AFC Asian Cup;Beirut;Lebanon;FALSE;Draw;;Draw
2000;16/10/2000;China PR;Indonesia;4.0;0.0;FALSE;AFC Asian Cup;Tripoli;Lebanon;TRUE;China PR;;Indonesia
2000;16/10/2000;South Korea;Kuwait;0.0;1.0;FALSE;AFC Asian Cup;Tripoli;Lebanon;TRUE;Kuwait;;South Korea
